State,Metropolitan Area,Masjid Name,Masjid Location,Phone Number
California,Berkeley & Oakland,Oakland Islamic Center,"515 31st Street, Oakland, CA",(510) 808-5284
California,Berkeley & Oakland,Masjid Al-Islam,"8210 McArthur Blvd., Oakland, CA",(510) 638-9541
California,Berkeley & Oakland,Masjid al-Salam,"1005 7th Street, Oakland, CA",(313) 377-0323
California,East Bay,Al Hilal Center,"91 Montague Expressway, Milpitas, CA",(408) 719-9010
California,East Bay,Al Medina Education Center ,"37400 Central Court, Newark, CA",(510) 943-2230
California,East Bay,Masjid al-Huda,"3880 Smith Street, Union City, CA",(209) 568-3238
California,East Bay,Mustafa Institute of California,"33527 Western Avenue, Union City, CA",(510) 300-4166
California,East Bay,Masjid Zakariya,"42412 Albrae Street, Fremont, CA",(510) 661-0352
California,East Bay,Islamic Center of Hayward,"185 Folsom Street, Hayward, CA",(510) 786-0313
California,East Bay,Alameda Muslim League,"731 A Street, Hayward, CA",(510) 728-5102
California,East Bay,Anjuman-e-Najmi,"1121 Old Canyon Road, Fremont, CA",(510) 794-7091
California,East Bay,Fatimiyya Islamic Center,"573 Bartlett Avenue, Hayward, CA",(510) 885-1454
California,East Bay,Ibrahim Khalilulah Islamic Center,"43140 Osgood Road, Fremont, CA",(510) 651-0122
California,East Bay,Imam Ali Islamic Center,"9875 Dublin Canyon Road, Castro Valley, CA",(408) 401-8788
California,East Bay,Abu Bakr as-Siddiq Mosque,"29414 Mission Blvd, Hayward, CA",(510) 582-2730
California,East Bay,Ta'leef Collective,"43170 Osgood Road, Fremont, CA",(510) 455-1911
California,East Bay,Mohammadia Islamic & Cultural Center,"492 C Street, Hayward, CA",(510) 889-9034
California,East Bay,American Muslim Association,"26320 Gading Road, Hayward, CA",(510) 786-2662
California,East Bay,Unified Muslim Community,"18553 Mission Blvd., Hayward, CA",(510) 868-1727
California,East Bay,IECRC Masjid,"5758 Mowry School Road, Newark, CA",(510) 732-6786
California,East Bay,Unified Muslim Community,"16777 East 14th Street, San Leandro, CA",(510) 868-1727
California,East Bay,Islamic Society of the East Bay,"33330 Peace Terrace, Fremont, CA",(510) 429-4732
California,East Bay,Masjid Dar-us-salam,"90 Dempsey Road, Milpitas, CA",(408) 719-9010
California,East Bay,Islamic Center of Fremont,"4039 Irvington Avenue, Fremont, CA",(510) 661-0352
California,Marin & Sonoma,Islamic Center of Mill Valley,"62 Shell Road, Mill Valley, CA",(415) 383-0617
California,Marin & Sonoma,Islamic Center of Petaluma,"222 Bassett Street, Petaluma, CA",(707) 773-1576
California,Marin & Sonoma,Islamic Society of California,"781 Bolinas Road, Fairfax, CA",(707) 829-2998
California,Marin & Sonoma,Islamic Society of Santa Rosa,"545 Mendocino Avenue, Santa Rosa, CA",(707) 525-1144
California,Marin & Sonoma,American Muslim Society,"3149 California Blvd., Napa, CA",(707) 259-0979
California,Marin & Sonoma,Islamic Center of North Marin,"154 Hamilton Drive, Novato, CA",(415) 578-0579
California,Marin & Sonoma,Muslim Institute for Interfaith Studies,"1841 Vermillion Way, Santa Rosa, CA",(707) 545-5234
California,Marin & Sonoma,Marin City Musallah,"56 Terrace Drive, Sausalito, CA",(415) 205-4736
California,Monterey Bay,Islamic Center of Santa Cruz,"900 17th Avenue, Santa Cruz, CA",(408) 479-8982
California,Monterey Bay,Islamic Community of Salinas,"35 West Market Street, Salinas, CA",(831) 272-4885
California,Monterey Bay,Islamic Center of Castroville,"11080 Cooper Street, Castroville, CA",(831) 633-6532
California,Monterey Bay,Islamic Society of Monterey County,"405 Elm Street, Seaside, CA",(831) 899-2969
California,Monterey Bay,Presidio of Monterey Chapel Activities Center,"655 Rifle Range Road, Bldg 324, Monterey, CA",(831) 242-5000
California,North Bay,The Islamic Center of Fairfield,"1945 Kidder Avenue, Fairfield, CA",(707) 426-5768
California,North Bay,Islamic Center of Vallejo,"1181 Lewis Avenue, Vallejo, CA",(707) 649-8006
California,North Bay,Islamic Society of West Contra Costa County,"1110 36th Street, Richmond, CA",(510) 236-8130
California,North Bay,Muhammad Mosque #72,"3609 MacDonald Avenue, Richmond, CA",(510) 232-9446
California,North Bay,Islamic Center of East Bay,"314 West 19th Street, Antioch, CA",(925) 756-1652
California,Peninsula,Jamil Islamic Center,"427 California Avenue, Palo Alto, CA",(650) 321-1819
California,Peninsula,Yaseen Foundation,"621 Masonic Way, Belmont, CA",(650) 591-3690
California,Peninsula,Daly City Musallah,"82 Hill Street, Daly City, CA",(650) 827-5782
California,Peninsula,Masjid ul Haqq,"228 North Ellsworth Street, San Mateo, CA",(650) 579-0429
California,Peninsula,Jerrahi Mosque,"3644 Hoover Street, Redwood City, CA",(650) 364-1699
California,Peninsula,Yaseen Burlingame Center,"1722 Gilbreth Road, Burlingame, CA",(650) 591-3690
California,Peninsula,Musalla al-Madinah,"714 4th Avenue, San Bruno, CA",(408) 463-8580
California,Peninsula,Diyanet Center of Silicon Valley,"800 Burlway Road, Burlingame, CA",(650) 466-8444
California,Peninsula,Fiji Jam'atul Islam of America,"373 Alta Vista Drive, South San Francisco, CA",(650) 876-9763
California,San Francisco,Masjid Al-Tawheed,"1227 Sutter Street, San Francisco, CA",(415) 776-8088
California,San Francisco,Islamic Center of San Francisco,"400 Crescent Avenue, San Francisco, CA",(415) 282-9039
California,San Francisco,Islamic Society of San Francisco,"20 Jones Street, San Francisco, CA",(415) 863-7997
California,San Francisco,Bayview Islamic Unity Center,"1411 Thomas Avenue, San Francisco, CA",(415) 822-6400
California,San Francisco,Alsabeel Masjid Noor Al-Islam,"118 Jones Street, San Francisco, CA",(415) 292-9709
California,San Francisco,San Francisco Muslim Community Center,"4760 Mission Street, San Francisco, CA",(415) 563-9397
California,San Ramon Valley,Islamic Center of Zahra,"1059 Serpentine Lane, Pleasanton, CA",(510) 673-2369
California,San Ramon Valley,Walnut Creek Muslim Community Center,"2449 Buena Vista Avenue, Walnut Creek, CA",(925) 798-5558
California,San Ramon Valley,Brentwood Muslim Community Center,"7701 Lone Tree Way, Brentwood, CA",(925) 497-2400
California,San Ramon Valley,San Ramon Valley Islamic Center,"2232 Camino Ramon, San Ramon, CA",(925) 866-7088
California,San Ramon Valley,Muslim Community Center of East Bay,"5724 West Las Positas Blvd., Pleasanton, CA",(925) 485-1786
California,San Ramon Valley,Masjid Darulislam,"4115 Concord Blvd., Concord, CA",(925) 798-5558
California,San Ramon Valley,Islamic Center of Livermore,"379 South Livermore Avenue, Livermore, CA",(925) 315-7402
California,San Ramon Valley,Islamic Center of Contra Costa,"2836 Clayton Road, Concord, CA",(925) 682-4222
California,San Ramon Valley,Muslim Community Institute of East Bay,"65 Trevarno Road, Livermore, CA",(925) 339-0617
California,San Ramon Valley,Imam Ali Islamic Center,"6258 Preston Avenue, Livermore, CA",(408) 401-8788
California,San Ramon Valley,Afghan Islamic Center,"1545 Monument Blvd., Concord, CA",(925) 825-2533
California,San Ramon Valley,Noor Islamic & Cultural Community Center,"4035 Treat Blvd., Concord, CA",(925) 768-4885
California,Silicon Valley,Evergreen Islamic Center,"2486 Ruby Avenue, San Jose, CA",(408) 239-6668
California,Silicon Valley,South Valley Islamic Center (SVIC),"14770 Columbet Avenue, San Martin, CA",(408) 861-5360
